"죄종별","범죄발생지별","항목","단위","2016 년","2017 년","2018 년","2019 년","2020 년",
"살인미수등","정읍시","범죄건수[건]","건","3","-","2","-","2",
"살인미수등","광양시","범죄건수[건]","건","2","-","1","1","-",
"살인미수등","나주시","범죄건수[건]","건","-","2","2","2","-",
"살인미수등","목포시","범죄건수[건]","건","4","6","2","3","-",
"살인미수등","순천시","범죄건수[건]","건","2","4","4","3","2",
"살인미수등","여수시","범죄건수[건]","건","-","3","5","-","4",
"살인미수등","경산시","범죄건수[건]","건","1","-","3","1","-",
"살인미수등","경주시","범죄건수[건]","건","3","2","4","1","1",
"살인미수등","구미시","범죄건수[건]","건","4","3","3","2","4",
"살인미수등","김천시","범죄건수[건]","건","-","2","1","2","1",
"살인미수등","문경시","범죄건수[건]","건","-","1","1","-","-",
"살인미수등","상주시","범죄건수[건]","건","1","1","1","2","-",
"살인미수등","안동시","범죄건수[건]","건","1","1","-","1","2",
"살인미수등","영주시","범죄건수[건]","건","1","-","1","2","-",
"살인미수등","영천시","범죄건수[건]","건","1","1","-","-","2",
"살인미수등","포항시","범죄건수[건]","건","6","-","8","2","4",
"살인미수등","거제시","범죄건수[건]","건","-","4","3","2","7",
"살인미수등","김해시","범죄건수[건]","건","4","5","3","-","6",
"살인미수등","밀양시","범죄건수[건]","건","-","-","4","2","-",
"살인미수등","사천시","범죄건수[건]","건","3","2","1","3","6",
"살인미수등","양산시","범죄건수[건]","건","1","3","3","3","2",
"살인미수등","진주시","범죄건수[건]","건","3","8","2","2","1",
"살인미수등","창원시","범죄건수[건]","건","15","6","18","10","13",
"살인미수등","통영시","범죄건수[건]","건","3","2","3","3","-",
"살인미수등","서귀포시","범죄건수[건]","건","1","2","2","3","2",
"살인미수등","제주시","범죄건수[건]","건","11","12","6","9","4",
"살인미수등","기타도시","범죄건수[건]","건","2","-","2","2","1",
"살인미수등","도시이외","범죄건수[건]","건","49","50","36","42","44",
"강도","계","범죄건수[건]","건","1149","967","821","798","663",
"강도","서울","범죄건수[건]","건","260","167","139","133","141",
"강도","부산","범죄건수[건]","건","137","102","86","81","38",
"강도","대구","범죄건수[건]","건","51","37","44","31","33",
"강도","인천","범죄건수[건]","건","88","73","37","60","45",
"강도","광주","범죄건수[건]","건","47","33","27","27","24",
"강도","대전","범죄건수[건]","건","35","41","51","25","14",
"강도","울산","범죄건수[건]","건","33","25","26","27","14",
"강도","세종","범죄건수[건]","건","3","3","5","-","2",
"강도","고양시","범죄건수[건]","건","11","14","7","8","10",
"강도","과천시","범죄건수[건]","건","1","1","-","-","-",
"강도","광명시","범죄건수[건]","건","4","1","7","5","4",
"강도","광주시","범죄건수[건]","건","4","4","3","5","-",
"강도","구리시","범죄건수[건]","건","1","4","5","3","2",
"강도","군포시","범죄건수[건]","건","3","4","-","2","3",
"강도","김포시","범죄건수[건]","건","6","3","4","1","7",
"강도","남양주시","범죄건수[건]","건","9","7","3","7","8",
"강도","동두천시","범죄건수[건]","건","-","4","2","1","5",
"강도","부천시","범죄건수[건]","건","17","13","20","12","16",
"강도","성남시","범죄건수[건]","건","17","14","16","13","15",
"강도","수원시","범죄건수[건]","건","26","25","20","19","9",
"강도","시흥시","범죄건수[건]","건","9","8","10","15","6",
"강도","안산시","범죄건수[건]","건","19","17","10","13","16",
"강도","안성시","범죄건수[건]","건","3","3","3","5","4",
"강도","안양시","범죄건수[건]","건","7","13","3","7","5",
"강도","양주시","범죄건수[건]","건","2","3","-","1","4",
"강도","여주시","범죄건수[건]","건","-","-","-","13","2",
"강도","오산시","범죄건수[건]","건","1","5","9","7","1",
"강도","용인시","범죄건수[건]","건","5","12","1","7","6",
"강도","의왕시","범죄건수[건]","건","1","3","2","-","-",
"강도","의정부시","범죄건수[건]","건","17","15","10","4","7",
"강도","이천시","범죄건수[건]","건","2","2","-","1","1",
"강도","파주시","범죄건수[건]","건","4","6","5","4","4",
"강도","평택시","범죄건수[건]","건","9","9","14","12","12",
"강도","포천시","범죄건수[건]","건","3","5","6","4","1",
"강도","하남시","범죄건수[건]","건","1","1","-","1","2",
"강도","화성시","범죄건수[건]","건","3","6","5","7","4",
"강도","강릉시","범죄건수[건]","건","5","6","3","4","8",
"강도","동해시","범죄건수[건]","건","2","3","-","2","-",
"강도","삼척시","범죄건수[건]","건","-","-","2","-","1",
"강도","속초시","범죄건수[건]","건","5","1","1","2","2",
"강도","원주시","범죄건수[건]","건","2","7","2","8","7",
"강도","춘천시","범죄건수[건]","건","5","5","3","3","1",
"강도","태백시","범죄건수[건]","건","3","-","-","4","-",
"강도","제천시","범죄건수[건]","건","2","4","4","4","3",
"강도","청주시","범죄건수[건]","건","17","11","15","22","9",
"강도","충주시","범죄건수[건]","건","-","5","2","2","3",
"강도","계룡시","범죄건수[건]","건","-","-","-","-","1",
"강도","공주시","범죄건수[건]","건","6","1","1","3","-",
"강도","논산시","범죄건수[건]","건","1","3","1","-","-",
"강도","당진시","범죄건수[건]","건","3","2","6","1","3",
"강도","보령시","범죄건수[건]","건","7","1","1","-","2",
"강도","서산시","범죄건수[건]","건","5","-","-","1","1",
"강도","아산시","범죄건수[건]","건","9","8","7","12","15",
"강도","천안시","범죄건수[건]","건","8","15","19","13","14",
"강도","군산시","범죄건수[건]","건","8","5","3","7","2",
"강도","김제시","범죄건수[건]","건","-","1","1","-","-",
"강도","남원시","범죄건수[건]","건","2","-","3","2","4",
"강도","익산시","범죄건수[건]","건","15","7","6","2","-",
"강도","전주시","범죄건수[건]","건","12","11","11","10","9",
"강도","정읍시","범죄건수[건]","건","1","-","-","1","1",
"강도","광양시","범죄건수[건]","건","5","2","3","-","1",
"강도","나주시","범죄건수[건]","건","-","1","1","4","2",
"강도","목포시","범죄건수[건]","건","5","5","10","8","5",
"강도","순천시","범죄건수[건]","건","4","4","2","1","-",
"강도","여수시","범죄건수[건]","건","6","5","3","3","4",
"강도","경산시","범죄건수[건]","건","6","4","4","3","-",
